%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1774712714191220521,8881,1774712714191220521,map,84,8.441503948356315,-7.667477763817487e-16,0.00899703304612731,0.0,0.0,0.9196360855129918,0.39277152419993633,6.533807203213557,0.07574311059122207,6.1876815571584375e-06,0.0,0.0,0.0
1774712714211225509,8882,1774712714211225509,map,86,8.572191311370894,-0.0006703447074087095,0.00899747847575122,0.0,0.0,0.9150078812954486,0.40343596414699345,6.475583851507233,0.23103725931404595,3.5115549591495366e-05,0.0,0.0,0.0
1774712714231271266,8883,1774712714231271266,map,87,8.701779784481,9.94104971951959e-16,0.008999066877328531,0.0,0.0,0.9051184023841942,0.4251595908191228,6.3702020065257665,0.07785437351952762,0.00012893995667968337,0.0,0.0,0.0
1774712714251250743,8884,1774712714251250743,map,88,8.82919582165146,4.0245584642661925e-16,0.009001636554014902,0.0,0.0,0.8998389131988302,0.43622234043334834,6.315797523671545,0.07860549368694869,0.00012579746251395604,0.0,0.0,0.0
1774712714271234512,8885,1774712714271234512,map,90,8.955529509969272,-0.0011489404943572298,0.009004068330445094,0.0,0.0,0.8943235153301144,0.44742088678065384,6.257580479534339,0.2400439510443828,0.00011515225348358549,0.0,0.0,0.0
1774712714291259288,8886,1774712714291259288,map,91,9.080767384667416,-0.0005104109647273824,0.009006522324035881,0.0,0.0,0.8885626817374269,0.45875522953269116,6.203583430631383,0.24240692873827063,0.0001257881893396324,0.0,0.0,0.0
1774712714311226367,8887,1774712714311226367,map,92,9.204929438532462,5.616167253474913e-16,0.00900903398668691,0.0,0.0,0.8762671809137164,0.48182551577674704,6.101324687203193,0.08172640353817417,8.037481828283557e-05,0.0,0.0,0.0
1774712714331239223,8888,1774712714331239223,map,93,9.326969351400646,1.734723475976807e-17,0.00901034093148216,0.0,0.0,0.8697146883997275,0.4935548204422329,6.0487458295132415,0.08254547771195053,1.1487848733189549e-05,0.0,0.0,0.0
1774712714351240158,8889,1774712714351240158,map,94,9.447957898270214,-4.163336342344337e-17,0.009010166765963853,0.0,0.0,0.8628771881886201,0.5054136504920506,5.9970474622477665,0.08340953496399672,-3.944243247304356e-05,0.0,0.0,0.0
1774712714371229171,8890,1774712714371229171,map,96,9.567914575267128,-0.00092932472800537,0.00900898493611008,0.0,0.0,0.8557419590364146,0.5174028406807595,5.940816848636695,0.25474222051249473,-7.365740966805784e-05,0.0,0.0,0.0
