x_m,y_m
3.814921,-7.366973
3.770319,-7.382522
3.720575,-7.399389
3.673995,-7.415864
3.631893,-7.431951
3.595894,-7.447107
3.552924,-7.466132
3.511194,-7.480269
3.473329,-7.493559
3.431166,-7.508794
3.381609,-7.526733
3.330510,-7.546647
3.280903,-7.566838
3.231845,-7.587421
3.177112,-7.606387
3.126807,-7.629140
3.076209,-7.649795
3.025174,-7.672012
2.972134,-7.693915
2.929211,-7.710100
2.881259,-7.731823
2.834047,-7.748357
2.783451,-7.763437
2.744672,-7.779410
2.703461,-7.792362
2.668209,-7.804805
2.640583,-7.814278
2.624004,-7.821012
2.605332,-7.831894
2.592735,-7.834091
2.583882,-7.839552
2.578836,-7.843281
2.569429,-7.845054
2.566267,-7.846788
2.565874,-7.847724
2.559721,-7.850768
2.553346,-7.853300
2.546972,-7.857585
2.543844,-7.860426
2.538206,-7.864507
2.530386,-7.871521
2.525428,-7.875041
2.520450,-7.877784
2.512827,-7.884159
2.508866,-7.890062
2.504804,-7.898079
2.498560,-7.901227
2.497157,-7.908441
2.497129,-7.916312
2.495425,-7.919649
2.491061,-7.929072
2.491061,-7.940004
2.493187,-7.947831
2.490131,-7.954828
2.485899,-7.960429
2.483728,-7.966704
2.483106,-7.974378
2.480410,-7.982198
2.483070,-7.991739
2.483406,-7.993984
2.483736,-8.004214
2.484850,-8.016070
2.488633,-8.027931
2.493996,-8.040921
2.500253,-8.056155
2.504349,-8.066943
2.512105,-8.077549
2.531614,-8.110503
2.556047,-8.143084
2.577514,-8.171076
2.598325,-8.199669
2.620057,-8.228349
2.642874,-8.257315
2.668026,-8.287536
2.691377,-8.317052
2.716673,-8.348905
2.729834,-8.357594
2.742158,-8.371589
2.758239,-8.380625
2.774153,-8.387672
2.795126,-8.394885
2.818645,-8.399645
2.846201,-8.403449
2.879034,-8.408307
2.917459,-8.408548
2.962671,-8.409780
3.009525,-8.411005
3.059816,-8.412333
3.110659,-8.414156
3.166136,-8.416625
3.226296,-8.419048
3.281925,-8.419895
3.343000,-8.424565
3.395622,-8.429824
3.440341,-8.434786
3.487633,-8.435619
3.531872,-8.436107
3.583927,-8.436035
3.639543,-8.434363
3.686965,-8.432305
3.739663,-8.431494
3.784221,-8.426476
3.839953,-8.421425
3.898257,-8.416399
3.953470,-8.414770
4.008568,-8.413342
4.056108,-8.410001
4.093131,-8.407958
4.137522,-8.403620
4.185162,-8.397485
4.240708,-8.392009
4.285701,-8.385838
4.333109,-8.379522
4.383283,-8.373321
4.439544,-8.367119
4.500297,-8.361966
4.567160,-8.357904
4.628047,-8.355964
4.688883,-8.351923
4.744215,-8.346686
4.801883,-8.342106
4.857796,-8.337504
4.916144,-8.332747
4.966259,-8.327836
5.019129,-8.323718
5.071235,-8.318427
5.126745,-8.311257
5.173524,-8.309936
5.223477,-8.307274
5.276077,-8.304383
5.328296,-8.301908
5.378098,-8.298637
5.433430,-8.295521
5.492119,-8.292344
5.547128,-8.289325
5.602637,-8.287964
5.661347,-8.285133
5.711499,-8.283720
5.761754,-8.283058
5.814718,-8.279741
5.870558,-8.276877
5.921606,-8.274231
5.966030,-8.271406
6.013217,-8.268566
6.062546,-8.266138
6.112615,-8.263299
6.168247,-8.260817
6.223188,-8.257911
6.273145,-8.257364
6.320505,-8.257266
6.374918,-8.253619
6.428704,-8.250001
6.481235,-8.245876
6.536778,-8.240728
6.584054,-8.236419
6.639620,-8.230805
6.695611,-8.224701
6.756737,-8.218622
6.823470,-8.212470
6.881871,-8.209667
6.939046,-8.206420
6.992395,-8.204566
7.037826,-8.203082
7.090225,-8.202215
7.134520,-8.202887
7.216737,-8.208517
7.299791,-8.215902
7.372973,-8.223347
7.448275,-8.232421
7.526138,-8.242609
7.606369,-8.253701
7.689917,-8.266091
7.780091,-8.280580
7.873311,-8.297104
7.930582,-8.311138
7.982662,-8.326608
8.046070,-8.348298
8.106872,-8.367894
8.166741,-8.387661
8.222762,-8.405574
8.280822,-8.425366
8.330920,-8.442346
8.376851,-8.458885
8.421019,-8.474262
8.472219,-8.489799
8.516312,-8.500528
8.562688,-8.512091
8.613946,-8.525556
8.669547,-8.544621
8.717068,-8.558630
8.771375,-8.577061
8.821568,-8.593783
8.866106,-8.609664
8.902768,-8.622221
8.944674,-8.633719
8.987408,-8.645812
9.026825,-8.656588
9.065887,-8.663771
9.110617,-8.674205
9.146152,-8.679991
9.191058,-8.686621
9.246990,-8.697512
9.307083,-8.708744
9.362342,-8.721075
9.417560,-8.733965
9.468634,-8.747994
9.523151,-8.757736
9.577159,-8.767762
9.630597,-8.778739
9.679897,-8.789438
9.723564,-8.796558
9.768161,-8.803926
9.817979,-8.809120
9.870274,-8.814987
9.925370,-8.820613
9.981444,-8.829931
10.037753,-8.839962
10.100138,-8.850954
10.168344,-8.864060
10.234982,-8.877162
10.300457,-8.891963
10.356421,-8.907589
10.404789,-8.922477
10.448469,-8.937426
10.499256,-8.952556
10.550583,-8.966358
10.597816,-8.980292
10.640908,-8.989254
10.688338,-8.999318
10.734763,-9.008249
10.790338,-9.019563
10.852289,-9.031161
10.921216,-9.043831
10.972279,-9.054313
11.024527,-9.065538
11.088641,-9.078834
11.149858,-9.092429
11.209622,-9.106957
11.270118,-9.121367
11.325594,-9.134373
11.379684,-9.147770
11.427986,-9.158606
11.482746,-9.170598
11.537822,-9.184040
11.587303,-9.196016
11.639878,-9.211105
11.699725,-9.228421
11.756418,-9.244103
11.817485,-9.260111
11.878430,-9.278081
11.944521,-9.296608
12.009865,-9.315383
12.072843,-9.332470
12.129914,-9.348529
12.181576,-9.364410
12.226103,-9.377034
12.269712,-9.391550
12.306954,-9.405648
12.352012,-9.416204
12.398391,-9.426623
12.450288,-9.441013
12.549189,-9.485806
12.657345,-9.548959
12.760347,-9.613697
12.865599,-9.680643
12.967303,-9.751376
13.071184,-9.821567
13.162032,-9.898102
13.249926,-9.972857
13.324378,-10.044182
13.355199,-10.092395
13.379159,-10.120048
13.414743,-10.152761
13.444574,-10.190207
13.478634,-10.221167
13.510549,-10.253515
13.542634,-10.283547
13.576211,-10.316500
13.616120,-10.351138
13.652245,-10.380911
13.680502,-10.412117
13.710528,-10.442711
13.743152,-10.469519
13.779483,-10.499136
13.815500,-10.529315
13.854032,-10.561495
13.890743,-10.592732
13.926857,-10.623209
13.963674,-10.653375
14.007873,-10.684885
14.046031,-10.712648
14.084892,-10.739775
14.123043,-10.766975
14.162889,-10.793238
14.201828,-10.815703
14.242801,-10.841084
14.284782,-10.866221
14.327508,-10.891112
14.370868,-10.916520
14.415913,-10.942217
14.459924,-10.967897
14.506476,-10.992621
14.557012,-11.019398
14.624865,-11.058074
14.695827,-11.100542
14.768594,-11.146823
14.843387,-11.199901
14.918880,-11.257470
14.992853,-11.318168
15.069624,-11.392399
15.142255,-11.466815
15.206053,-11.538370
15.253735,-11.600696
15.289483,-11.655535
15.330351,-11.715008
15.368669,-11.772278
15.400727,-11.825628
15.434567,-11.880528
15.462546,-11.922028
15.490882,-11.969717
15.523515,-12.025462
15.559048,-12.087038
15.601730,-12.165830
15.634530,-12.250790
15.661248,-12.353585
15.677101,-12.478030
15.686502,-12.594288
15.692155,-12.712622
15.691480,-12.828776
15.685712,-12.941621
15.670135,-13.033551
15.630627,-13.156174
15.585556,-13.267314
15.535740,-13.357653
15.464543,-13.432657
15.379466,-13.520965
15.273311,-13.608693
15.159593,-13.692153
15.026271,-13.765970
14.893263,-13.849430
14.764124,-13.878672
14.634952,-13.902562
14.507772,-13.922245
14.399915,-13.926567
14.304551,-13.917253
14.226861,-13.901570
14.155013,-13.885222
14.096911,-13.871311
14.039810,-13.854793
13.990973,-13.844097
13.944055,-13.832905
13.894903,-13.821843
13.850480,-13.815990
13.804333,-13.809775
13.754944,-13.804486
13.705452,-13.798833
13.656398,-13.795139
13.597253,-13.789487
13.545175,-13.783879
13.492552,-13.779291
13.446035,-13.774165
13.397041,-13.769195
13.352510,-13.764671
13.307858,-13.759915
13.265228,-13.755582
13.223275,-13.749790
13.188544,-13.749440
13.151926,-13.753098
13.118783,-13.752406
13.076240,-13.756174
13.047318,-13.756067
13.000467,-13.760602
12.955921,-13.765758
12.909199,-13.770739
12.873574,-13.776926
12.835416,-13.782189
12.790878,-13.783883
12.740777,-13.789442
12.699064,-13.791097
12.644575,-13.796254
12.599998,-13.797093
12.558411,-13.796954
12.513653,-13.797595
12.459160,-13.798223
12.409227,-13.799002
12.366210,-13.799306
12.320369,-13.802151
12.267683,-13.807477
12.219289,-13.812435
12.169327,-13.817981
12.116611,-13.823577
12.067027,-13.828922
12.015918,-13.834079
11.963258,-13.839433
11.906324,-13.844435
11.851953,-13.847465
11.793486,-13.847495
11.735563,-13.848330
11.682921,-13.848323
11.627123,-13.848622
11.569934,-13.848508
11.511461,-13.848866
11.457341,-13.848722
11.399535,-13.849125
11.343371,-13.848768
11.288586,-13.848982
11.233847,-13.848710
11.171927,-13.848772
11.113741,-13.848480
11.054632,-13.848612
10.995775,-13.848529
10.929068,-13.848374
10.864672,-13.848196
10.798651,-13.848226
10.736959,-13.847969
10.677127,-13.847832
10.622174,-13.847364
10.566443,-13.847338
10.510613,-13.846840
10.455776,-13.846485
10.409244,-13.846014
10.358780,-13.845759
10.309487,-13.845274
10.256571,-13.844553
10.199423,-13.844164
10.140693,-13.843763
10.080301,-13.838128
10.028140,-13.832730
9.978456,-13.827938
9.923483,-13.828238
9.879562,-13.827895
9.828878,-13.828423
9.782001,-13.828962
9.741738,-13.829712
9.703255,-13.830472
9.666385,-13.836769
9.624154,-13.842629
9.579455,-13.850456
9.535404,-13.850942
9.489992,-13.855136
9.446389,-13.859962
9.407981,-13.864628
