right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
6.622169,-1.075936,0.291859,7.520906,-2.334289,0.291859,7.083884,-1.722400,0.291859
6.610830,-1.088730,0.292514,7.369058,-2.442537,0.292514,6.997373,-1.778898,0.292514
6.600005,-1.104314,0.289679,7.218123,-2.537665,0.289679,6.909302,-1.821541,0.289679
6.584807,-1.115827,0.291453,7.134722,-2.557725,0.291453,6.860855,-1.839637,0.291453
6.569989,-1.127897,0.288846,7.077756,-2.566678,0.288846,6.826402,-1.854455,0.288846
6.549839,-1.142652,0.289109,7.023955,-2.572808,0.289109,6.789762,-1.866372,0.289109
6.524045,-1.156847,0.286145,6.972285,-2.583906,0.286145,6.751408,-1.880703,0.286145
6.496176,-1.172939,0.285560,6.894953,-2.599720,0.285560,6.698430,-1.896583,0.285560
6.468997,-1.190415,0.281246,6.827388,-2.615347,0.281246,6.650099,-1.910462,0.281246
6.440650,-1.203771,0.279411,6.756300,-2.626840,0.279411,6.600132,-1.922778,0.279411
6.411931,-1.217955,0.277845,6.689805,-2.639065,0.277845,6.551882,-1.933696,0.277845
6.376124,-1.228245,0.277571,6.627840,-2.650544,0.277571,6.502669,-1.943277,0.277571
6.342694,-1.237709,0.273238,6.566477,-2.667331,0.273238,6.454563,-1.952375,0.273238
6.306419,-1.243817,0.272905,6.505301,-2.678929,0.272905,6.405652,-1.959870,0.272905
6.270217,-1.249821,0.268709,6.450805,-2.689950,0.268709,6.360141,-1.966938,0.268709
6.231963,-1.253896,0.269109,6.392269,-2.700677,0.269109,6.311644,-1.973026,0.269109
6.192818,-1.255541,0.265053,6.371747,-2.702285,0.265053,6.282057,-1.977094,0.265053
6.148409,-1.255904,0.270340,6.343505,-2.709200,0.270340,6.245951,-1.982509,0.270340
6.098140,-1.256084,0.267915,6.324400,-2.712775,0.267915,6.211828,-1.988024,0.267915
6.048004,-1.256082,0.263670,6.279849,-2.722972,0.263670,6.165021,-1.996453,0.263670
5.998350,-1.256366,0.263479,6.232970,-2.735008,0.263479,6.117057,-2.004491,0.263479
5.948504,-1.256225,0.259656,6.190031,-2.741383,0.259656,6.071526,-2.012691,0.259656
5.902859,-1.258883,0.257970,6.146906,-2.752076,0.257970,6.027346,-2.020554,0.257970
5.855476,-1.258712,0.253662,6.092154,-2.764264,0.253662,5.976664,-2.029613,0.253662
5.808955,-1.259529,0.254408,6.038366,-2.771660,0.254408,5.927028,-2.037791,0.254408
5.768648,-1.263054,0.250258,5.988398,-2.786726,0.250258,5.881494,-2.045489,0.250258
