x_m,y_m
13.418644,-12.192968
13.379020,-12.227639
13.341817,-12.256036
13.308137,-12.284952
13.293092,-12.296682
13.263782,-12.310656
13.242313,-12.322207
13.246389,-12.316719
13.252519,-12.310906
13.272044,-12.294155
13.297621,-12.275983
13.329684,-12.254669
13.358999,-12.231167
13.378994,-12.213078
13.417344,-12.184070
13.451032,-12.155001
13.466382,-12.136863
13.481628,-12.119532
13.490197,-12.108119
13.496061,-12.097811
13.497252,-12.090645
13.497429,-12.090471
13.498663,-12.089405
13.495180,-12.094921
13.492815,-12.100129
13.487851,-12.101457
13.482506,-12.107246
13.478805,-12.111800
13.476440,-12.121079
13.470638,-12.128809
13.465085,-12.129256
13.459470,-12.131058
13.449112,-12.137517
13.442860,-12.145814
13.441715,-12.153024
13.440801,-12.158402
13.438242,-12.168074
13.426823,-12.174656
13.422117,-12.178586
13.416689,-12.188542
13.406347,-12.202994
13.397786,-12.213533
13.389134,-12.221623
13.372380,-12.238251
13.351961,-12.253693
13.326450,-12.269128
13.300855,-12.285722
13.271345,-12.310592
13.242614,-12.327934
13.214128,-12.344623
13.186192,-12.357170
13.154031,-12.372914
13.126590,-12.386472
13.098090,-12.399407
13.071514,-12.412400
13.055119,-12.420089
13.034435,-12.425503
13.015799,-12.435703
12.993590,-12.441427
12.973524,-12.450035
12.950408,-12.456030
12.922907,-12.461298
12.898396,-12.470500
12.880075,-12.476682
12.852835,-12.485195
12.830274,-12.490739
12.800015,-12.493509
12.781180,-12.499010
12.761940,-12.504072
12.731946,-12.509411
12.710186,-12.514302
12.684526,-12.509854
12.645264,-12.503954
12.611384,-12.498852
12.567283,-12.494149
12.522654,-12.492086
12.464076,-12.486750
12.400463,-12.480847
12.350005,-12.475805
12.289564,-12.469803
12.228148,-12.467850
12.176944,-12.466932
12.121294,-12.465668
12.070358,-12.464777
12.020747,-12.463530
11.981407,-12.462791
11.934125,-12.462188
11.881531,-12.461260
11.830330,-12.459865
11.780718,-12.459363
11.725370,-12.459188
11.669004,-12.459023
11.609694,-12.459077
11.548092,-12.459114
11.487029,-12.459163
11.429632,-12.459897
11.379458,-12.460110
11.325502,-12.461565
11.264262,-12.461406
11.200981,-12.461665
11.140639,-12.461316
11.080861,-12.461577
11.020091,-12.461751
10.953995,-12.461397
10.894432,-12.461666
10.828081,-12.461753
10.762466,-12.461997
10.706850,-12.462743
10.645418,-12.463369
10.589665,-12.464070
10.537050,-12.464535
10.485784,-12.464859
10.432621,-12.465714
10.375394,-12.465910
10.324157,-12.465486
10.274480,-12.465436
10.219113,-12.465075
10.172371,-12.464928
10.117140,-12.464767
