right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-5.581416,-12.616652,0.139379,-5.201564,-10.794300,0.139379,-5.394508,-11.715453,0.139379
-5.306653,-12.675081,0.139042,-4.993653,-10.836067,0.139042,-5.145698,-11.751315,0.139042
-5.023751,-12.717253,0.139004,-4.775130,-10.868093,0.139004,-4.897139,-11.787127,0.139004
-4.752196,-12.753549,0.138995,-4.554582,-10.898474,0.138995,-4.648178,-11.823332,0.138995
-4.476695,-12.769888,0.138994,-4.331538,-10.924281,0.138994,-4.399422,-11.859098,0.138994
-4.205634,-12.791127,0.139013,-4.098785,-10.942671,0.139013,-4.150823,-11.894931,0.139013
-3.936659,-12.788568,0.138996,-3.872235,-10.957092,0.138996,-3.903159,-11.931079,0.138996
-3.675854,-12.814518,0.139007,-3.634707,-10.964496,0.139007,-3.655456,-11.967802,0.139007
-3.428177,-12.812697,0.139006,-3.394585,-10.970658,0.139006,-3.406245,-11.997928,0.139006
-3.169500,-12.834122,0.138993,-3.151677,-10.972045,0.138993,-3.155184,-11.987412,0.138993
-2.933717,-12.825285,0.139033,-2.898497,-10.971954,0.139033,-2.905667,-11.955707,0.139033
-2.661269,-12.810532,0.138990,-2.663797,-10.971456,0.138990,-2.655932,-11.937175,0.138990
-2.395570,-12.806515,0.139016,-2.413270,-10.967786,0.139016,-2.405274,-11.917296,0.139016
-2.136465,-12.802935,0.138997,-2.175426,-10.961810,0.138997,-2.155762,-11.896188,0.138997
-1.888476,-12.818857,0.139001,-1.932699,-10.955072,0.139001,-1.906112,-11.872359,0.139001
-1.628071,-12.809013,0.138992,-1.712606,-10.946445,0.138992,-1.657249,-11.848471,0.138992
-1.299898,-12.788325,0.138996,-1.527737,-10.934575,0.138996,-1.408417,-11.822590,0.138996
-0.994770,-12.743829,0.138991,-1.405441,-10.914690,0.138991,-1.161221,-11.784706,0.138991
-0.724026,-12.684289,0.139186,-1.272057,-10.860282,0.139186,-0.916410,-11.733610,0.139186
-0.501990,-12.634133,0.138985,-1.112246,-10.783108,0.138985,-0.739191,-11.556815,0.138985
-0.287153,-12.585717,0.139014,-0.903971,-10.681856,0.139014,-0.551665,-11.390310,0.139014
-0.064604,-12.539794,0.138988,-0.698262,-10.581799,0.138988,-0.354861,-11.235714,0.138988
0.146620,-12.490098,0.139061,-0.504996,-10.475241,0.139061,-0.157326,-11.080901,0.139061
0.298812,-12.457468,0.139020,-0.305632,-10.356749,0.139020,0.039508,-10.925905,0.139020
0.407300,-12.435768,0.138992,-0.121006,-10.236570,0.138992,0.236712,-10.771476,0.138992
0.592169,-12.209652,0.146171,0.066771,-10.109048,0.146171,0.403747,-10.584633,0.146171
0.906423,-11.763560,0.152020,0.244276,-9.978048,0.152020,0.577512,-10.404028,0.152020
1.334864,-11.105458,0.162750,0.420944,-9.839545,0.162750,0.742017,-10.215887,0.162750
1.763305,-10.447356,0.176927,0.588300,-9.693440,0.176927,0.901191,-10.022829,0.176927
2.046784,-10.005174,0.191417,0.756040,-9.532364,0.191417,1.053750,-9.824990,0.191417
2.188978,-9.778547,0.207489,0.914643,-9.363869,0.207489,1.209614,-9.629825,0.207489
2.196705,-9.760876,0.222955,1.073198,-9.188010,0.222955,1.365500,-9.434644,0.222955
2.257184,-9.682818,0.238608,1.216323,-9.006732,0.238608,1.531538,-9.247794,0.238608
2.374122,-9.527670,0.255762,1.359105,-8.816611,0.255762,1.691491,-9.055593,0.255762
2.528180,-9.308354,0.274177,1.491056,-8.624312,0.274177,1.842026,-8.856667,0.274177
2.681964,-9.074841,0.293136,1.613209,-8.430925,0.293136,1.997996,-8.661832,0.293136
2.820933,-8.841418,0.313387,1.721598,-8.235653,0.313387,2.146864,-8.461394,0.313387
2.958876,-8.599624,0.335808,1.822188,-8.028004,0.335808,2.258155,-8.238336,0.335808
3.085670,-8.346949,0.359658,1.913633,-7.829688,0.359658,2.339864,-8.003143,0.359658
3.204935,-8.091068,0.384213,1.999020,-7.620660,0.384213,2.436722,-7.773221,0.384213
3.314034,-7.825465,0.409446,2.079618,-7.407150,0.409446,2.534463,-7.543888,0.409446
3.407314,-7.555708,0.435584,2.154600,-7.169197,0.435584,2.629432,-7.313382,0.435584
3.486140,-7.277877,0.462888,2.217381,-6.945163,0.462888,2.682300,-7.070387,0.462888
3.549197,-6.997594,0.490962,2.270489,-6.718451,0.490962,2.732720,-6.827114,0.490962
3.602876,-6.716943,0.519799,2.315050,-6.511031,0.519799,2.780789,-6.583094,0.519799
