right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-0.478347,-12.623096,0.138985,-1.111753,-10.789913,0.138985,-0.739191,-11.556815,0.138985
-0.259540,-12.571928,0.139014,-0.895873,-10.683241,0.139014,-0.551665,-11.390310,0.139014
-0.046793,-12.524850,0.138988,-0.696146,-10.581857,0.138988,-0.354861,-11.235714,0.138988
0.149339,-12.484480,0.139061,-0.495440,-10.473275,0.139061,-0.157326,-11.080901,0.139061
0.317946,-12.449660,0.139020,-0.299118,-10.357619,0.139020,0.039508,-10.925905,0.139020
0.426634,-12.428561,0.138992,-0.115798,-10.241324,0.138992,0.236712,-10.771476,0.138992
0.610716,-12.200989,0.146171,0.067817,-10.115374,0.146171,0.403747,-10.584633,0.146171
0.905028,-11.759806,0.152020,0.246206,-9.983861,0.152020,0.577512,-10.404028,0.152020
1.335842,-11.099508,0.162750,0.423952,-9.841630,0.162750,0.742017,-10.215887,0.162750
1.766656,-10.439210,0.176927,0.597319,-9.691111,0.176927,0.901191,-10.022829,0.176927
2.053424,-9.993551,0.191417,0.765416,-9.529894,0.191417,1.053750,-9.824990,0.191417
2.197170,-9.766996,0.207489,0.927498,-9.361964,0.207489,1.209614,-9.629825,0.207489
2.205867,-9.751206,0.222955,1.079898,-9.188940,0.222955,1.365500,-9.434644,0.222955
2.263164,-9.675286,0.238608,1.227117,-9.003244,0.238608,1.531538,-9.247794,0.238608
2.376060,-9.522638,0.255762,1.366362,-8.818118,0.255762,1.691491,-9.055593,0.255762
2.527453,-9.304787,0.274177,1.499042,-8.624201,0.274177,1.842026,-8.856667,0.274177
2.678097,-9.075727,0.293136,1.616022,-8.436740,0.293136,1.997996,-8.661832,0.293136
2.816122,-8.847027,0.313387,1.726314,-8.235738,0.313387,2.146864,-8.461394,0.313387
2.951658,-8.605334,0.335808,1.826455,-8.029647,0.335808,2.258155,-8.238336,0.335808
3.078126,-8.354063,0.359658,1.920730,-7.821763,0.359658,2.339864,-8.003143,0.359658
3.195963,-8.098582,0.384213,2.009776,-7.608277,0.384213,2.436722,-7.773221,0.384213
3.302863,-7.835404,0.409446,2.089042,-7.395914,0.409446,2.534463,-7.543888,0.409446
3.396698,-7.564418,0.435584,2.162122,-7.169192,0.435584,2.629432,-7.313382,0.435584
3.480930,-7.271567,0.462888,2.223728,-6.944724,0.462888,2.682300,-7.070387,0.462888
3.547626,-6.989185,0.490962,2.278580,-6.711363,0.490962,2.732720,-6.827114,0.490962
3.598567,-6.702082,0.519799,2.323846,-6.497447,0.519799,2.780789,-6.583094,0.519799
3.633001,-6.417051,0.548882,2.364586,-6.261531,0.548882,2.825950,-6.338530,0.548882
3.657308,-6.136766,0.578482,2.394864,-6.054656,0.578482,2.869003,-6.094050,0.578482
3.672946,-5.862293,0.594264,2.411349,-5.821988,0.594264,2.911551,-5.848103,0.594264
3.679253,-5.608975,0.599584,2.416445,-5.605714,0.599584,2.945840,-5.600112,0.599584
3.680222,-5.355423,0.599022,2.417168,-5.352165,0.599022,2.981175,-5.352273,0.599022
3.680475,-5.108369,0.599044,2.417301,-5.105793,0.599044,3.017512,-5.104899,0.599044
3.680734,-4.858577,0.599026,2.417955,-4.855925,0.599026,3.019892,-4.854202,0.599026
3.680365,-4.605578,0.599409,2.417411,-4.609595,0.599409,3.031852,-4.603925,0.599409
3.679871,-4.352612,0.599022,2.417151,-4.355594,0.599022,3.042053,-4.353520,0.599022
3.679884,-4.102813,0.599038,2.414429,-4.108735,0.599038,3.053418,-4.103522,0.599038
3.680292,-3.849772,0.599538,2.414038,-3.842150,0.599538,3.042683,-3.853619,0.599538
3.680518,-3.603149,0.598994,2.414032,-3.608951,0.598994,3.040329,-3.603112,0.598994
3.680275,-3.351019,0.598996,2.413135,-3.355622,0.598996,3.036580,-3.353046,0.598996
3.680109,-3.103976,0.599032,2.411485,-3.115136,0.599032,3.031664,-3.102807,0.599032
3.679421,-2.852766,0.598996,2.413335,-2.835578,0.598996,3.026541,-2.852565,0.598996
3.679928,-2.604642,0.598989,2.416817,-2.582318,0.598989,3.020733,-2.601965,0.598989
3.679162,-2.357030,0.593078,2.418675,-2.336054,0.593078,3.016340,-2.350859,0.593078
3.679824,-2.107769,0.568139,2.416608,-2.108962,0.568139,3.000051,-2.101889,0.568139
3.679324,-1.859698,0.534680,2.413440,-1.848973,0.534680,2.986610,-1.853719,0.534680
3.680181,-1.607324,0.499729,2.409597,-1.611164,0.499729,2.972895,-1.605817,0.499729
3.679606,-1.360882,0.464838,2.408792,-1.358212,0.464838,2.958291,-1.358178,0.464838
3.679879,-1.114852,0.430119,2.408959,-1.125286,0.430119,2.941463,-1.111110,0.430119
3.679683,-0.868333,0.395646,2.410867,-0.862896,0.395646,2.922938,-0.863921,0.395646
3.679728,-0.622214,0.360703,2.411184,-0.614292,0.360703,2.904694,-0.615781,0.360703
3.680158,-0.369887,0.325905,2.413279,-0.347268,0.325905,2.920719,-0.368652,0.325905
